"Country","Year","CO2_emission","Continent","Population","avgT","GDP","energy_consumption"
"Afghanistan",1970,12192704,"Asia",10752971,14.78,"1748886596",0.0
"Afghanistan",1980,31793984,"Asia",12486631,14.89,"3641723322",7.790772438
"Afghanistan",1990,59182404,"Asia",10694796,14.99,"",31.74555779
"Afghanistan",2000,71679740,"Asia",19542982,15.5,"",5.913606167
"Afghanistan",2010,100148964,"Asia",28189672,15.83,"15856678596",34.7402153
"Afghanistan",2015,146592505,"Asia",33753499,16.53,"19134211764",37.01198578
"Albania",1970,43125280,"Europe",2324731,12.84,"",0.0
"Albania",1980,97231568,"Europe",2941651,12.16,"",47.76525879
"Albania",1990,172416848,"Europe",3295066,13.47,"2028553750",33.65784454
"Albania",2000,196683520,"Europe",3182021,13.75,"3480355258",28.73191261
"Albania",2010,236833632,"Europe",2913399,13.78,"11926922829",36.06064606
"Albania",2015,261576624,"Europe",2882481,14.99,"11386850130",34.08337402
"Algeria",1970,141005031,"Africa",13795915,23.32,"4863487493",36.75889969
"Algeria",1980,545525738,"Africa",18739378,23.16,"42346380831",177.1429443
"Algeria",1990,1227318081,"Africa",25518074,24.01,"62048562947",314.9737244
"Algeria",2000,2113382298,"Africa",30774621,24.03,"54790392746",299.9456482
"Algeria",2010,3127578673,"Africa",35856344,25.22,"161207000000",438.9949036
"Algeria",2015,3800143440,"Africa",39543154,25.12,"165979000000",617.5181274
"Andorra",1990,406704,"Europe",53569,12.46,"1029048482",0.0
"Andorra",2000,4909760,"Europe",66097,12.31,"1429049198",0.0
"Andorra",2010,10292176,"Europe",71519,11.48,"3449925739",0.0
"Andorra",2015,12673776,"Europe",71746,12.31,"2789881259",0.0
"Angola",1970,20430952,"Africa",6029700,22.15,"",0.0
"Angola",1980,65516644,"Africa",8330047,22.08,"5930503401",17.1054306
"Angola",1990,115662882,"Africa",11828638,22.47,"11228764963",23.33098793
"Angola",2000,190139578,"Africa",16394062,22.36,"9129594819",32.44805908
"Angola",2010,388098878,"Africa",23364185,22.68,"81699556137",83.17874146
"Angola",2015,552375384,"Africa",28127721,22.51,"87219290029",116.9994583
"Antigua and Barbuda",1970,4213600,"North America",64516,26.74,"",0.0
"Antigua and Barbuda",1980,8386896,"North America",64888,27.12,"131431026.7",1.701235294
"Antigua and Barbuda",1990,10581632,"North America",63328,26.93,"459470370.4",1.749203444
"Antigua and Barbuda",2000,12999872,"North America",75055,26.89,"826370370.4",2.136283636
"Antigua and Barbuda",2010,16825088,"North America",85695,27.74,"1148700000",2.837390184
"Antigua and Barbuda",2015,19129744,"North America",89941,27.25,"1336692593",3.043347836
"Argentina",1970,1599023582,"South America",23842803,15.2,"31584210366",353.4729919
"Argentina",1980,2584472008,"South America",28024803,15.23,"76961923741",471.9790955
"Argentina",1990,3671448186,"South America",32637657,15.16,"1.41352E+11",513.0083008
"Argentina",2000,4979454768,"South America",37070774,14.75,"2.84204E+11",698.7369385
"Argentina",2010,6593602747,"South America",41100123,15.08,"423627000000",884.8989868
"Argentina",2015,7546787804,"South America",43257065,14.46,"594749000000",996.5343628
"Armenia",1970,93277452,"Asia",2534377,9.85,"",0.0
"Armenia",1980,162665884,"Asia",3135123,9.36,"",0.0
"Armenia",1990,248525343,"Asia",3556539,9.26,"2256838858",0.0
"Armenia",2000,286200967,"Asia",3168523,9.92,"1911563669",29.37366676
"Armenia",2010,328026059,"Asia",2946293,11.51,"9260284938",39.33750534
"Armenia",2015,355351629,"Asia",2878595,11.34,"10553337673",40.66277695
"Aruba",1970,17579345,"North America",59106,28.37,"",0.0
"Aruba",1980,24952181,"North America",62267,28.63,"",0.0
"Aruba",1990,30564645,"North America",65712,28.24,"764804469.3",2.292013645
"Aruba",2000,39127413,"North America",89101,28.13,"1873184358",4.417369843
"Aruba",2010,65193109,"North America",100341,28.97,"2453631285",5.357860565
"Aruba",2015,71671061,"North America",104257,28.54,"2963128492",5.400848866
"Australia",1970,3243660321,"Oceania",12595034,21.78,"41337215814",570.1016235
"Australia",1980,5061289622,"Oceania",14706322,22.59,"1.50032E+11",844.2469482
"Australia",1990,7540841121,"Oceania",17048003,22.36,"3.11327E+11",1033.059448
"Australia",2000,10689033670,"Oceania",19017963,21.71,"4.15576E+11",1305.259521
"Australia",2010,14578929980,"Oceania",22019168,22.08,"1147590000000",1508.838623
"Australia",2015,16582643483,"Oceania",23820236,22.14,"1350530000000",1599.560547
"Austria",1970,2339272621,"Europe",7465301,5.93,"15373005557",254.149231
"Austria",1980,2903706486,"Europe",7547561,5.63,"82058912997",320.8738098
"Austria",1990,3453229292,"Europe",7678729,7.34,"1.66463E+11",335.1677551
"Austria",2000,4098183486,"Europe",8010428,8.08,"1.9729E+11",391.4245911
"Austria",2010,4838108349,"Europe",8362829,6.65,"392275000000",420.0735779
"Austria",2015,5173531524,"Europe",8642421,8.06,"381971000000",395.284729
"Azerbaijan",1970,540978845,"Asia",5425317,12.26,"",0.0
"Azerbaijan",1980,941401411,"Asia",6383060,11.8,"",0.0
"Azerbaijan",1990,1435896132,"Asia",7427836,11.99,"8858006036",260.551239
"Azerbaijan",2000,1816550287,"Asia",8190337,12.63,"5272798391",131.6309814
"Azerbaijan",2010,2139476101,"Asia",9237202,13.96,"52909294792",130.848053
"Azerbaijan",2015,2316678208,"Asia",9863480,14.17,"53074370486",171.3279572
"Bahamas",1970,14764728,"North America",179129,25.04,"538423153.7",0.0
"Bahamas",1980,89109294,"North America",223752,25.51,"1335300000",17.6760788
"Bahamas",1990,107883409,"North America",270679,25.99,"3166000000",12.011941910000001
"Bahamas",2000,126573473,"North America",325014,25.45,"8076470000",16.46298409
"Bahamas",2010,146073281,"North America",373272,25.23,"10095760000",13.26292706
"Bahamas",2015,157768769,"North America",392697,26.01,"11861900000",11.81909847
"Bahrain",1970,72367664,"Asia",222555,26.33,"",0.0
"Bahrain",1980,133552800,"Asia",362595,26.56,"3072698328",40.17396545
"Bahrain",1990,238199114,"Asia",517418,26.34,"4229787234",75.09365082
"Bahrain",2000,393106767,"Asia",711442,27.07,"9062898936",111.8770447
"Bahrain",2010,610556764,"Asia",1213645,28.07,"25713271277",172.2404785
"Bangladesh",2015,1135228712,"Asia",157830000,25.97,"195079000000",363.5335083
"Barbados",1970,4385808,"North America",241397,26.77,"",0.0
"Barbados",1980,9936768,"North America",253575,27.15,"1012280615",4.281007767
"Barbados",1990,18404685,"North America",258868,26.94,"2012131457",5.501600266
"Barbados",2000,28350056,"North America",264657,26.9,"3059500000",6.965417862
"Barbados",2010,41948792,"North America",274711,27.84,"4529928302",7.373278618
"Barbados",2015,48884231,"North America",278083,27.25,"4724691213",6.832759857
"Belarus",1970,1136336208,"Europe",9170786,5.76,"",0.0
"Belarus",1980,1975817091,"Europe",9817257,5.0,"",0.0
"Belarus",1990,3030868628,"Europe",10428525,7.76,"21650000000",465.9725037
"Belarus",2000,3697377158,"Europe",10256483,7.91,"12736856828",255.06027219999999
"Belarus",2010,4300258802,"Europe",9731427,7.04,"57222490769",306.2483521
"Belarus",2015,4608445520,"Europe",9700609,8.27,"56454734397",267.0302429
"Belgium",1970,6680529187,"Europe",9629376,9.5,"26706196047",539.5910645
"Belgium",1980,7993899148,"Europe",9828986,9.3,"1.26829E+11",566.1063843
"Belgium",1990,9076545842,"Europe",9959560,10.94,"2.05332E+11",621.3526611
"Belgium",2000,10329710813,"Europe",10264343,11.03,"2.36792E+11",743.3484497
"Belgium",2010,11552112925,"Europe",10877947,9.36,"481421000000",773.2404175
"Belgium",2015,12060100184,"Europe",11248303,10.06,"462336000000",670.9188232
"Belize",1970,1238432,"North America",120905,25.14,"53233532.93",0.0
"Belize",1980,3004480,"North America",145133,25.67,"197938222.4",1.05275774
"Belize",1990,5188224,"North America",182589,25.55,"412086445.5",1.433229566
"Belize",2000,8888864,"North America",240406,25.29,"832072450",2.413468599
"Belize",2010,13424896,"North America",322106,25.5,"1387925188",3.379774094
"Belize",2015,15978704,"North America",359871,26.21,"1734320479",3.670005083
"Benin",1970,1960240,"Africa",3023443,27.52,"333627758.2",0.0
"Benin",1980,5638738,"Africa",3833939,27.56,"1405251547",1.912735939
"Benin",1990,10814209,"Africa",5133419,27.79,"1959965244",2.556783438
"Benin",2000,21903370,"Africa",6998023,27.64,"3519991326",6.864806652
"Benin",2010,53284824,"Africa",9445710,28.33,"9535344283",21.60961914
"Benin",2015,76854623,"Africa",10932783,28.16,"11388160958",22.77846336
"Bhutan",1970,3664,"Asia",298894,12.11,"",0.0
"Bhutan",1980,87936,"Asia",415257,12.23,"128717410.9",0.03957139
"Bhutan",1990,747456,"Asia",558442,12.21,"287658184",3.730477333
"Bhutan",2000,3519838,"Asia",587207,12.0,"424464089.9",4.973111629
"Bhutan",2010,7302727,"Asia",705516,12.95,"1547991318",17.13445854
"Bhutan",2015,11509179,"Asia",743274,13.33,"2003598213",17.99211884
"Bolivia",1970,27961635,"South America",4585693,21.52,"1017003367",0.0
"Bolivia",1980,69069984,"South America",5736088,21.03,"4537487803",21.8479023
"Bolivia",1990,113364146,"South America",7096194,21.33,"4867582598",27.03803253
"Bolivia",2000,204093426,"South America",8592656,21.08,"8397912525",43.58756638
"Bolivia",2010,319534555,"South America",10223270,21.45,"19649631308",67.46323395
"Bolivia",2015,415394141,"South America",11090085,20.64,"33000198249",88.92763519
"Bosnia and Herzegovina",1970,150846902,"Europe",3815561,10.41,"",0.0
"Bosnia and Herzegovina",1980,287326178,"Europe",4199820,9.79,"",0.0
"Bosnia and Herzegovina",1990,472577076,"Europe",4494310,11.56,"",0.0
"Bosnia and Herzegovina",2000,567617983,"Europe",4179350,12.15,"5567405605",64.67382813
"Bosnia and Herzegovina",2010,737422552,"Europe",3811088,11.27,"17176781066",76.50543213
"Bosnia and Herzegovina",2015,842891341,"Europe",3524324,12.88,"16219819344",70.99016571
"Botswana",1980,4481072,"Africa",938578,21.85,"1060923829",4.322435379
"Botswana",1990,17554224,"Africa",1341474,22.94,"3790567052",8.95139122
"Botswana",2000,48068016,"Africa",1726985,21.87,"5788329609",14.34899139
"Botswana",2010,88960415,"Africa",2091664,22.73,"12786654498",18.61847687
"Botswana",2015,116004015,"Africa",2305171,21.83,"13578754072",23.44811058
"Brazil",1970,1244984023,"South America",96369875,25.19,"42327664794",447.850708
"Brazil",1980,2753759815,"South America",122288383,25.15,"2.37393E+11",1114.936035
"Brazil",1990,4650031782,"South America",150706446,25.27,"3.90726E+11",1527.640503
"Brazil",2000,7461070782,"South America",175873720,25.2,"6.55448E+11",2293.646973
"Brazil",2010,11227577782,"South America",196353492,25.81,"2208840000000",3134.265869
"Brazil",2015,13808138782,"South America",205188205,25.35,"1802210000000",3443.671631
"Bulgaria",1970,726767575,"Europe",8582950,10.93,"",209.3584595
"Bulgaria",1980,1455990283,"Europe",8980606,10.04,"19839230769",335.9919739
"Bulgaria",1990,2324788510,"Europe",8767778,11.6,"20632090909",324.4367981
"Bulgaria",2000,2875828832,"Europe",8097691,11.91,"13245833844",217.4558563
"Bulgaria",2010,3377131127,"Europe",7592273,11.77,"50682061053",211.1269684
"Bulgaria",2015,3614821162,"Europe",7309253,13.41,"50781996713",224.085907
"Burkina Faso",1970,1102864,"Africa",5611666,28.5,"458404330.1",0.0
"Burkina Faso",1980,3653008,"Africa",6932967,28.77,"1928719477",1.769065022
"Burkina Faso",1990,9273584,"Africa",9131361,28.81,"3101300642",2.03891468
"Burkina Faso",2000,16738819,"Africa",11882888,28.59,"2968369991",4.259114265
"Burkina Faso",2010,30574155,"Africa",16116845,29.29,"10109618964",8.210584641
"Burkina Faso",2015,44396249,"Africa",18718019,29.39,"11832159276",15.66794205
"Burundi",1970,676481,"Africa",3497834,20.05,"242732571.4",0.0
"Burundi",1980,1610801,"Africa",4312834,20.58,"919726666.7",0.467201829
"Burundi",1990,3768897,"Africa",5483793,20.41,"1132101253",1.590886354
"Burundi",2000,6187137,"Africa",6307659,20.6,"870486065.9",1.652346253
"Burundi",2010,8176689,"Africa",9126605,21.07,"2032135247",1.822369695
"Burundi",2015,10073776,"Africa",10727148,20.86,"3104003611",2.078433037
"Cambodia",1970,6496231,"Asia",6708525,27.01,"718401157.7",0.0
"Cambodia",1980,7448871,"Asia",6198959,27.21,"",1.322819352
"Cambodia",1990,12310999,"Asia",8910808,27.26,"",2.041766644
"Cambodia",2000,28000247,"Asia",12118841,27.06,"3654031716",8.961345673
"Cambodia",2010,60058259,"Asia",14363532,27.88,"11242275199",22.89700317
"Cambodia",2015,91302231,"Asia",15417523,28.26,"18049954289",35.38318634
"Cameroon",1970,6631544,"Africa",6452787,24.61,"1151217147",0.0
"Cameroon",1980,21674800,"Africa",8519891,24.77,"6674567625",13.79857922
"Cameroon",1990,68560499,"Africa",11430520,24.89,"12314482085",22.77588081
"Cameroon",2000,99082100,"Africa",15091594,24.61,"10566578953",23.77795982
"Cameroon",2010,145012214,"Africa",19878036,25.46,"27507499709",37.49298859
"Cameroon",2015,177358737,"Africa",23012646,25.31,"32210232912",43.45692825
"Canada",1970,8846986426,"North America",21434577,-5.1,"87896095320",1868.563354
"Canada",1980,12854547405,"North America",24511510,-4.42,"2.73854E+11",2711.693604
"Canada",1990,17166174255,"North America",27657204,-5.02,"5.9393E+11",3008.582031
"Canada",2000,22180153682,"North America",30683313,-4.03,"7.44773E+11",3647.489502
"Canada",2010,27893676503,"North America",33963412,-1.89,"1617340000000",3754.991943
"Canada",2015,30750132962,"North America",35732126,-1.64,"1556510000000",4040.926025
"Central African Republic",1970,1337360,"Africa",2067356,25.43,"189106554.5",0.0
"Central African Republic",1980,2678384,"Africa",2415276,25.79,"797048028.8",0.80433619
"Central African Republic",1990,4499392,"Africa",2809221,25.72,"1440711396",1.239998698
"Central African Republic",2000,6613520,"Africa",3759170,25.61,"916777282.7",1.446231008
"Central African Republic",2010,8712992,"Africa",4660067,26.33,"2142591376",1.211701989
"Central African Republic",2015,9511744,"Africa",4819333,26.21,"1695825708",1.431364417
"Chad",1970,1161488,"Africa",3667394,27.02,"469266736.6",0.0
"Chad",1980,2912880,"Africa",4408230,27.48,"1033002402",1.208018541
"Chad",1990,4858464,"Africa",5827069,27.62,"1738605558",1.4191221
"Chad",2000,9192976,"Africa",8259137,27.45,"1388506727",1.032112718
"Chad",2010,16971648,"Africa",11894727,28.7,"10668102735",1.557132721
"Chad",2015,21046908,"Africa",14140274,28.36,"10950392220",4.194112778
"Chile",1970,509237326,"South America",9820481,9.65,"9126309735",90.40140533
"Chile",1980,760534878,"South America",11469828,9.9,"29036709872",107.0211258
"Chile",1990,1005185393,"South America",13342868,9.83,"33113887819",155.680603
"Chile",2000,1459472892,"South America",15351799,9.56,"78249883996",310.684845
"Chile",2010,2083958001,"South America",17004162,9.71,"217105000000",374.7411804
"Chile",2015,2482915104,"South America",17870124,9.88,"242497000000",423.4603271
"China",1970,10470031284,"Asia",822534450,6.57,"92602973434",2361.698486
"China",1980,22647681248,"Asia",982372466,6.95,"1.91149E+11",4827.53418
"China",1990,43004236475,"Asia",1153704252,7.64,"3.60858E+11",7938.249512
"China",2000,74884032894,"Asia",1264099069,7.24,"1.21135E+12",11800.28418
"China",2010,135000000000,"Asia",1348191368,7.55,"6087160000000",29054.17969
"China",2015,184000000000,"Asia",1393715448,9.3,"11061600000000",35283.01953
"Colombia",1970,431749022,"South America",20905254,24.93,"7198360460",120.7887192
"Colombia",1980,806485930,"South America",26176195,25.43,"33400735644",188.5197144
"Colombia",1990,1303002462,"South America",32601393,25.22,"47844090710",251.7685547
"Colombia",2000,1910500167,"South America",39215135,25.03,"99886577331",313.6766968
"Colombia",2010,2531260831,"South America",44816108,25.69,"286563000000",406.9504089
"Colombia",2015,2955160135,"South America",47119728,25.58,"293482000000",480.411499
"Comoros",1970,183200,"Africa",242351,25.91,"",0.0
"Comoros",1980,512960,"Africa",328328,25.93,"212218226.4",0.191595003
"Comoros",1990,1011264,"Africa",431119,26.15,"429622147.7",0.266587585
"Comoros",2000,1824672,"Africa",536758,26.0,"351136568.4",0.438374639
"Comoros",2010,3140048,"Africa",656024,26.79,"907978724",0.704707265
"Comoros",2015,3960784,"Africa",730216,26.54,"966029542",0.756785154
"Costa Rica",1970,12901161,"North America",1855697,25.55,"984830158.5",0.0
"Costa Rica",1980,35003612,"North America",2414303,25.89,"4831447001",16.1581974
"Costa Rica",1990,59676341,"North America",3158253,26.29,"5711687787",21.78142548
"Costa Rica",2000,106265934,"North America",3979193,26.07,"15013629659",42.5745697
"Costa Rica",2010,176523334,"North America",4622252,26.23,"37658614803",54.4809227
"Costa Rica",2015,213880081,"North America",4895242,26.46,"56441917653",59.21244049
"Croatia",1970,162893423,"Europe",4492638,11.31,"",0.0
"Croatia",1980,300553653,"Europe",4680144,10.69,"",0.0
"Croatia",1990,491007740,"Europe",4873707,12.43,"",100.4531326
"Croatia",2000,668639135,"Europe",4548434,13.23,"21839780971",96.55011749
"Croatia",2010,895608467,"Europe",4368682,11.96,"60426018629",108.2629852
"Croatia",2015,989284075,"Europe",4254815,13.59,"50163192883",91.02197266
"Cuba",1970,256531117,"North America",8869636,25.41,"5693005200",0.0
"Cuba",1980,519491069,"North America",9809107,25.85,"19912889861",133.3944702
"Cuba",1990,851163188,"North America",10626680,26.13,"28645436569",145.7028046
"Cuba",2000,1085645214,"North America",11105791,25.79,"30565400000",109.7696381
"Cuba",2010,1351628574,"North America",11290417,25.63,"59562962963",133.3725433
"Cuba",2015,1495578511,"North America",11339894,26.25,"87133000000",127.649147
"Cyprus",1970,18602059,"Europe",640804,19.3,"",8.004829407
"Cyprus",1980,43652825,"Europe",679327,18.85,"2154311277",10.27866459
"Cyprus",1990,80506578,"Europe",788500,19.19,"5591130218",19.27453613
"Cyprus",2000,141929961,"Europe",948237,19.44,"9985844486",30.26110458
"Cyprus",2010,221404272,"Europe",1129686,20.95,"25732432719",34.05603409
"Cyprus",2015,256953492,"Europe",1187280,20.35,"19842404305",29.18447495
"Denmark",1970,1420463084,"Europe",4922963,-18.21,"17075457600",242.9894257
"Denmark",1980,2013419086,"Europe",5125392,-17.01,"71127528700",232.960907
"Denmark",1990,2554714449,"Europe",5144623,-17.87,"1.38247E+11",201.9610138
"Denmark",2000,3178648906,"Europe",5340655,-16.82,"1.64159E+11",236.5193939
"Denmark",2010,3720566069,"Europe",5550849,-15.09,"321995000000",232.6667023
"Denmark",2015,3919114412,"Europe",5677796,-14.93,"302673000000",199.3443451
"Djibouti",1970,1293392,"Africa",144379,28.99,"",0.0
"Djibouti",1980,3524768,"Africa",324121,29.51,"",6.345333576
"Djibouti",1990,7009232,"Africa",577173,29.3,"452328087.3",6.881986618
"Djibouti",2000,10259200,"Africa",742033,29.86,"551230861.9",3.533749104
"Djibouti",2010,14612032,"Africa",919199,29.84,"1128611700",3.623653173
"Djibouti",2015,16964137,"Africa",1006259,30.74,"2424391785",3.335404158
"Dominica",1970,227168,"North America",68895,26.42,"",0.0
"Dominica",1980,512960,"North America",72978,26.75,"72804653.33",0.147488996
"Dominica",1990,989280,"North America",69481,26.63,"201429629.6",0.262617767
"Dominica",2000,1729408,"North America",68346,26.57,"333470370.4",0.529281259
"Dominica",2010,3169360,"North America",68755,27.49,"493825926",0.779064119
"Dominica",2015,4008416,"North America",70007,26.92,"540737037",0.813067675
"Dominican Republic",1970,26898678,"North America",4475871,25.68,"1485500000",0.0
"Dominican Republic",1980,84351656,"North America",5755800,26.37,"6761300000",25.28134346
"Dominican Republic",1990,166030009,"North America",7129004,26.17,"7073675545",40.65882874
"Dominican Republic",2000,312449762,"North America",8540791,25.88,"24305717542",86.10049438
"Dominican Republic",2010,508933026,"North America",9775755,26.46,"53860175556",87.79959106
"Dominican Republic",2015,618067854,"North America",10405832,26.29,"71164825257",97.34282684
"Ecuador",1970,58900546,"South America",6172215,21.96,"2862504170",14.77302551
"Ecuador",1980,137930212,"South America",8135845,22.34,"17881514683",38.81812668
"Ecuador",1990,317859362,"South America",10449837,22.43,"15239278100",80.98210144
"Ecuador",2000,522762020,"South America",12626507,22.03,"18327764882",104.1288223
"Ecuador",2010,815439334,"South America",14989585,22.64,"69555367000",155.1942291
"Ecuador",2015,1013320438,"South America",16195902,22.26,"99290381000",188.0461426
"Egypt",1970,414147733,"Africa",34781986,22.71,"8042200452",91.431633
"Egypt",1980,743137318,"Africa",43748556,23.07,"21669908176",211.6622162
"Egypt",1990,1405401182,"Africa",57214630,23.09,"42978914311",391.3234558
"Egypt",2000,2421754260,"Africa",71371371,22.88,"99838543960",568.5334473
"Egypt",2010,4093181569,"Africa",87252413,25.15,"218984000000",895.1117554
"Egypt",2015,5162711129,"Africa",97723799,24.51,"329367000000",971.7203979
"El Salvador",1970,16235704,"North America",3619090,25.06,"1132920000",0.0
"El Salvador",1980,36829790,"North America",4508992,25.43,"3573959900",13.24420166
"El Salvador",1990,57676994,"North America",5367179,25.57,"4817542204",15.71775818
"El Salvador",2000,104455357,"North America",5958482,25.41,"11784927700",29.40266418
"El Salvador",2010,167968202,"North America",6114034,25.46,"18447920000",37.19075775
"El Salvador",2015,199860431,"North America",6231066,25.91,"23438240000",38.64464188
"Equatorial Guinea",1970,582576,"Africa",316955,25.2,"66331428.57",0.0
"Equatorial Guinea",1980,1194464,"Africa",282509,25.37,"50642880.77",0.249775529
"Equatorial Guinea",1990,2011536,"Africa",465549,25.29,"112119406.5",0.508698523
"Equatorial Guinea",2000,4092688,"Africa",684977,25.22,"1045998496",3.254553795
"Equatorial Guinea",2010,71825392,"Africa",1094524,25.9,"16314442183",30.81440163
"Equatorial Guinea",2015,124055712,"Africa",1346973,25.59,"13185496836",28.20121384
"Estonia",1970,413371852,"Europe",1361999,4.35,"",0.0
"Estonia",1980,717905218,"Europe",1476983,4.5,"",0.0
"Estonia",1990,1088858980,"Europe",1570674,6.7,"",127.5705032
"Estonia",2000,1290783940,"Europe",1396877,7.01,"5686579748",55.3528862
"Estonia",2010,1461641514,"Europe",1331535,5.04,"19523477326",73.14867401
"Estonia",2015,1553061236,"Europe",1314657,6.96,"22890762090",68.41591644
"Ethiopia",1970,11690111,"Africa",28308246,23.14,"",0.0
"Ethiopia",1980,26893080,"Africa",34945469,23.64,"",8.831874847
"Ethiopia",1990,48681060,"Africa",47878073,23.38,"12175166763",15.47638607
"Ethiopia",2000,77751946,"Africa",67031867,23.76,"8242392104",19.30459213
"Ethiopia",2010,131798817,"Africa",89237791,23.93,"29933790334",41.78668213
"Ethiopia",2015,181801151,"Africa",102471895,24.63,"64589334979",73.31639099
"Fiji",1970,5271216,"Oceania",527634,25.28,"219878482.2",0.0
"Fiji",1980,11907243,"Oceania",644582,25.28,"1202567359",4.428925991
"Fiji",1990,18728431,"Oceania",780430,25.4,"1337024782",5.428222656
"Fiji",2000,26334816,"Oceania",832509,25.84,"1678239218",7.749854565
"Fiji",2010,36922862,"Oceania",905169,25.92,"3140508836",8.298195839
"Fiji",2015,42670595,"Oceania",917200,25.94,"4682546863",7.539304256
"Finland",1970,500364105,"Europe",4606621,1.17,"11357516988",181.7085266
"Finland",1980,992497929,"Europe",4779418,0.88,"53645202423",264.6627502
"Finland",1990,1492259431,"Europe",4986545,2.94,"1.41438E+11",322.8738708
"Finland",2000,2080048895,"Europe",5176209,3.59,"1.2602E+11",359.4204712
"Finland",2010,2720121704,"Europe",5363271,1.14,"249424000000",371.8120728
"Finland",2015,2971516812,"Europe",5479461,4.06,"234534000000",329.24664310000003
"France",1970,18208175168,"Europe",50523586,12.9,"1.48456E+11",1803.216919
